1.346714069465864441e+02,-4.861198802928483360e+02,1.132029467301107388e+02,5.513916456497197487e+02,-4.489284589524486790e+01,4.990670085576397810e+02,6.923797326323198220e+00
1.427618111800055658e+02,-5.153236023496785947e+02,1.200036301136596393e+02,5.845165784426607161e+02,-4.758979009977998231e+01,5.290485312159421483e+02,7.339745451246541208e+00
1.245324391400126700e+02,-4.495215115063721214e+02,1.046802687650612285e+02,5.098791800802945318e+02,-4.151301100974548319e+01,4.614938930180072703e+02,6.402527371679629375e+00
1.042830754376096678e+02,-3.764279092176358859e+02,8.765892999319477497e+01,4.269712322955361969e+02,-3.476286571328110142e+01,3.864535440880972601e+02,5.361456416520978152e+00
8.896403853758560842e+01,-3.211311795488427947e+02,7.478195664399804343e+01,3.642497596564091396e+02,-2.965624970318009801e+01,3.296840627778485668e+02,4.573866020496516249e+00
7.764301251019030303e+01,-2.802659659002422927e+02,6.526565667085098710e+01,3.178975360239278416e+02,-2.588237454773945245e+01,2.877304608856778714e+02,3.991823465830056428e+00
6.931334007664845842e+01,-2.501985636351283233e+02,5.826384770372942512e+01,2.837929558833545798e+02,-2.310567005347941816e+01,2.568622550955547581e+02,3.563573958142223219e+00
6.147081115198369616e+01,-2.218895906430857110e+02,5.167152492180208867e+01,2.516829109386128493e+02,-2.049135532679379779e+01,2.277993119014465435e+02,3.160369729187047394e+00
5.767922928963128726e+01,-2.082032160604077262e+02,4.848437295451802242e+01,2.361588541985857148e+02,-1.922742778563943844e+01,2.137484197287962786e+02,2.965434924863640909e+00
5.079346970945574213e+01,-1.833478685242562563e+02,4.269629742590888100e+01,2.079661561898177240e+02,-1.693205306049643255e+01,1.882310845108756325e+02,2.611420625526668982e+00
4.966504097773650273e+01,-1.792746086362095355e+02,4.174775563443415649e+01,2.033459759341241977e+02,-1.655589023346855981e+01,1.840493389994994686e+02,2.553405253052521307e+00
4.324573074731925715e+01,-1.561029912043728984e+02,3.635177106329008012e+01,1.770630840260442369e+02,-1.441600685761518896e+01,1.602605777001634522e+02,2.223372293436719271e+00
4.199583248486415954e+01,-1.515912659057430005e+02,3.530112364205317022e+01,1.719455652040774112e+02,-1.399935204310533976e+01,1.556286888605946217e+02,2.159111865451468493e+00
4.168525995637952519e+01,-1.504702003151156759e+02,3.504006061319638832e+01,1.706739731010658829e+02,-1.389582238542464054e+01,1.544777652440286033e+02,2.143144546990140675e+00
3.644283369516610094e+01,-1.315467503837150787e+02,3.063334864485684150e+01,1.492096540677455323e+02,-1.214825443764786428e+01,1.350503154899366791e+02,1.873618166046998157e+00
3.624137039373777469e+01,-1.308195335364702032e+02,3.046400134317827479e+01,1.483847931426892899e+02,-1.208109644806692096e+01,1.343037302313609302e+02,1.863260428651896339e+00
3.623835792784971943e+01,-1.308086595165865731e+02,3.046146910546586284e+01,1.483724590581115876e+02,-1.208009223960171319e+01,1.342925665970511488e+02,1.863105550168525415e+00
3.318447458418191331e+01,-1.197851361190703585e+02,2.789441644513153662e+01,1.358687969915591793e+02,-1.106207722485016909e+01,1.229754469547740428e+02,1.706097690748324958e+00
3.041212009849207121e+01,-1.097778401290060941e+02,2.556401310060415355e+01,1.245178121251486800e+02,-1.013791013166435739e+01,1.127016205263967663e+02,1.563563941299544124e+00
3.040998358499576781e+01,-1.097701280117228464e+02,2.556221717651756009e+01,1.245090644947541278e+02,-1.013719792279004928e+01,1.126937030075743138e+02,1.563454097742037918e+00
